Depth,PERMEABILITY,POROSITY,G1,PD1,G2,PD2,BV1,BV2,Mode,PRT,ROCK_INDEX,DATA_SOURCE
1,4800,0.2581,0.49,1.29,0.15,1000,25.81,0,94.16,M,1,Rosetta
2,1550,0.3005,0.69,1.55,0.15,1000,30.05,0,62.44,M,1,Rosetta
3,520.9935,0.30712,0.74,3.37,0.15,1000,30.71,0,27.12,M,1,Rosetta
4,234,0.2208,0.64,4.39,0.15,1000,22.08,0,23.36,M,1,Rosetta
5,432.2024,0.24874,0.53,4.46,0.15,1000,24.87,0,26.2,M,1,Rosetta
6,63,0.2829,0.83,7.49,0.15,1000,28.29,0,10.94,M,1,Rosetta
7,28.72,0.2458,0.73,11.21,0.15,1000,24.58,0,8.2,M,1,Rosetta
8,23.6613,0.26601,0.37,22.7,0.15,1000,26.6,0,6.16,M,1,Rosetta
9,25.6819,0.17585,0.55,23,0.15,1000,17.59,0,4.94,M,1,Rosetta
10,6.126,0.17163,0.33,32.06,0.15,1000,17.16,0,4.56,M,1,Rosetta
11,14.0913,0.23504,0.35,38.1,0.15,1000,23.5,0,3.76,M,1,Rosetta
12,9.4,0.23497,0.27,38.53,0.15,1000,23.5,0,4.06,M,1,Rosetta
13,59.116,0.29175,1.38,0.94,0.4,35,11.24,17.94,46.71,M_M,1,Rosetta
14,1007,0.23883,1.02,1.1,0.45,120,19.52,4.37,60.02,M_1,1,Rosetta
15,11.7045,0.15677,1.05,1.1,0.07,115,6.77,8.9,58.16,M_1,1,Rosetta
16,2034.6025,0.26043,0.53,1.16,0.65,120,20.71,5.33,100.05,M_1,1,Rosetta
17,687.9194,0.24874,0.98,1.17,0.12,200,18.84,6.03,59.35,M_1,1,Rosetta
18,460,0.21448,0.94,1.3,0.08,1200,19.62,1.83,55.85,M_2,2,Rosetta
19,535.3885,0.2128,0.7,1.32,0.5,100,16.43,4.85,72.49,M_1,1,Rosetta
20,1965.9549,0.25472,0.64,1.34,0.5,130,22.95,2.52,76.27,M_1,1,Rosetta
21,935,0.2519,0.85,1.37,0.32,130,20.52,4.67,58.8,M_1,1,Rosetta
22,1186,0.2823,0.75,1.39,0.15,180,26.43,1.8,65.47,M_1,1,Rosetta
23,0.52949,0.15361,1.1,1.4,0.38,1000,13.06,2.3,43.14,M_2,2,Rosetta
24,858.3082,0.26075,0.72,1.47,0.2,150,25.1,0.98,63.69,M_1,1,Rosetta
25,1651.9321,0.27417,0.45,1.49,0.36,178,22.5,4.92,85.88,M_1,1,Rosetta
26,3185.1145,0.28101,0.48,1.56,0.53,197.32,24.27,3.83,79.61,M_1,1,Rosetta
27,328,0.26869,0.94,1.57,0.18,530,24.28,2.59,46.31,M_1,1,Rosetta
28,810.94499,0.2666,0.94,1.58,0.11,280,21.5,5.16,45.94,M_1,1,Rosetta
29,670.5791,0.22247,0.6,1.69,0.7,1100,19.51,2.74,63.64,M_2,2,Rosetta
30,1812.2959,0.13719,0.28,1.75,0.23,2169.89,11.05,2.67,88.51,M_2,2,Rosetta
31,1896.583,0.23313,0.37,1.76,0.7,100,17.27,6.05,79.21,M_1,1,Rosetta
32,503.778,0.25857,0.72,1.9,0.06,240,21.96,3.89,49.29,M_1,1,Rosetta
33,319.18083,0.1207,0.51,1.93,0.3,2500,11.26,0.81,61.84,M_3,2,Rosetta
34,1729.4119,0.27999,0.43,2.1,0.76,65,22.09,5.91,62.15,M_1,1,Rosetta
35,887,0.28829,0.79,2.11,0.09,160,25.99,2.84,40.93,M_1,1,Rosetta
36,878.57083,0.20943,0.52,2.14,0.15,1085.27,19.72,1.22,55.05,M_2,2,Rosetta
37,203.695,0.24136,1.02,2.2,0.13,155,15.54,8.59,30.1,M_1,1,Rosetta
38,198.2947,0.22121,0.87,2.27,0.18,180,16.32,5.8,34.64,M_1,1,Rosetta
39,453.84809,0.16211,0.49,2.29,0.5,80,13.02,3.19,52.97,M_1,1,Rosetta
40,1493,0.3033,0.48,2.32,0.16,140,26.84,3.49,53.15,M_1,1,Rosetta
41,603.7672,0.26963,0.45,2.34,0.15,245,23.18,3.78,54.67,M_1,1,Rosetta
42,521,0.2546,0.69,2.34,0.09,175,23.3,2.16,41.22,M_1,1,Rosetta
43,391,0.2413,0.7,2.35,0.18,211.06,21.4,2.73,40.63,M_1,1,Rosetta
44,714,0.25199,0.65,2.36,0.12,200,23.51,1.69,42.73,M_1,1,Rosetta
45,1796.95697,0.21959,0.12,2.4,0.3,210,13.35,8.61,77.67,M_1,1,Rosetta
46,782.924,0.27503,0.57,2.4,0.9,36,21.02,6.49,46.1,M_M,1,Rosetta
47,186.9314,0.20035,1.4,2.4,0.1,300,18.2,1.83,17.82,M_1,1,Rosetta
48,645.2361,0.2382,0.45,2.47,0.15,170,17.59,6.23,51.72,M_1,1,Rosetta
49,11.40969,0.09455,1.09,2.49,0.18,2900,8.36,1.1,24.57,M_3,2,Rosetta
50,1884.77386,0.25321,0.14,2.5,0.16,230,14.59,10.73,72.87,M_1,1,Rosetta
51,1027.37404,0.18353,0.44,2.5,0.25,1400,16.01,2.34,51.61,M_2,2,Rosetta
52,606,0.26478,0.53,2.56,0.22,165,22.27,4.2,45.38,M_1,1,Rosetta
53,1246.4076,0.18773,0.16,2.71,0.4,740,12.55,6.22,65.76,M_2,2,Rosetta
54,1420.7532,0.27869,0.33,2.71,0.49,97.71,21.53,6.33,54.28,M_1,1,Rosetta
55,645.1751,0.27877,0.63,2.72,0.04,220,24.63,3.25,37.89,M_1,1,Rosetta
56,450,0.2694,0.71,2.74,0.1,209.79,23.6,3.34,34.5,M_1,1,Rosetta
57,115,0.20536,1.05,2.76,0.3,140,12.95,7.59,23.19,M_1,1,Rosetta
58,2390,0.2506,0.22,2.76,1.04,110,19.08,5.98,59.86,M_1,1,Rosetta
59,346.4029,0.21637,0.57,2.79,0.1,220,17.2,4.43,40.04,M_1,1,Rosetta
60,1066.9838,0.30702,0.37,2.87,0.07,180,22.9,7.8,49.01,M_1,1,Rosetta
61,1147.00587,0.23431,0.14,2.9,0.16,210,12.18,11.25,62.82,M_1,1,Rosetta
62,1150,0.2669,0.31,2.93,0.1,200,20.56,6.13,51.1,M_1,1,Rosetta
63,900.0386,0.285,0.41,2.99,0.27,175,20.56,7.94,44.76,M_1,1,Rosetta
64,325.2059,0.2587,0.55,3,0.15,155,22.16,3.71,37.75,M_1,1,Rosetta
65,58.8956,0.12281,0.38,3.01,0.31,1452.63,10.69,1.6,45.61,M_2,2,Rosetta
66,398.77181,0.20317,0.39,3.09,0.16,1157.21,18.85,1.47,44.5,M_2,2,Rosetta
